Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
1350848,Dhillon's El Camino Shell,2400 Del Paso Blvd,,Sacramento,CA,95815,2509,SACRAMENTO,Convenience Store,38.611412,-121.44767,,,-13519492.782429527,4666161.544127105
1352747,Sutter Medical Center Sacramento Farmers Market,2825 Capitol Ave,,Sacramento,CA,95816,5680,SACRAMENTO,Farmers and Markets,38.570801,-121.46964,,California Department of Food and Agriculture,-13521938.471642256,4660377.6444572015
1352797,Dollar Tree 7656,3615 Bradshaw Rd,,Sacramento,CA,95827,3258,SACRAMENTO,Other,38.556118,-121.33475,,,-13506922.585529152,4658287.267092739
1352817,Safeway 3013,3680 Crocker Dr,,Sacramento,CA,95818,3959,SACRAMENTO,Supermarket,38.540779,-121.48383,,,-13523518.095216611,4656103.952811547
1355226,Punjabi Bazar Supermarket,8851 Calvine Rd,Suite F,Sacramento,CA,95828,9304,SACRAMENTO,Grocery Store,38.453342,-121.3743,,,-13511325.271390026,4643667.272734129
1357015,Arco Ampm 7131,9670 Kiefer Blvd,,Sacramento,CA,95827,3819,SACRAMENTO,Convenience Store,38.543591,-121.33587,,,-13507047.26335884,4656504.170883769
1357037,King Wine & Liquor # 3 N/A,1120 Fulton Ave,Ste A,Sacramento,CA,95825,4209,SACRAMENTO,Convenience Store,38.58559,-121.40083,,,-13514278.57748077,4662483.544617396
1357361,Northgate Arco Am/pm 83973,3501 Northgate Blvd,,Sacramento,CA,95834,1623,SACRAMENTO,Convenience Store,38.630051,-121.47625,,,-13522674.293476399,4668817.243775355
1357453,Life Pure Water,8347 Elk Grove Florin Rd,Ste 123,Sacramento,CA,95829,9522,SACRAMENTO,Convenience Store,38.454716,-121.37024,,,-13510873.314257402,4643862.588197793
1359394,Astro Am/pm 2166,1855 Watt Ave,,Sacramento,CA,95825,2142,SACRAMENTO,Convenience Store,38.598534,-121.3836,,,-13512360.5426544,4664327.079386715
1360427,Arteaga's Market,3100 Arden Way,,Sacramento,CA,95825,2002,SACRAMENTO,Convenience Store,38.5956,-121.39188,,,-13513282.26803817,4663909.178574588
1360714,Rocket #5435 5435,2200 Fair Oaks Blvd,,Sacramento,CA,95825,5502,SACRAMENTO,Convenience Store,38.573875,-121.41467,,,-13515819.239233349,4660815.335256373
1361374,Kings Market,6421 Martin Luther King Jr Blvd,Ste 103,Sacramento,CA,95823,1157,SACRAMENTO,Convenience Store,38.50956,-121.4641,,,-13521321.76166326,4651661.757352846
1362574,Indian Grocery Outlet,2101 Natomas Crossing Dr,Ste 300,Sacramento,CA,95834,3846,SACRAMENTO,Convenience Store,38.640121,-121.50983,,,-13526412.401977235,4670252.312699512
1363043,Folsom Gas Mart,8461 Folsom Blvd,,Sacramento,CA,95826,3515,SACRAMENTO,Convenience Store,38.547829,-121.39208,,,-13513304.53193633,4657107.37405853
1364935,Natomas Farmers Market,2501 New Market Dr,,Sacramento,CA,95835,2238,SACRAMENTO,Farmers and Markets,38.660393,-121.51862,,California Department of Food and Agriculture,-13527390.900301311,4673141.873452274
1365121,Freeport Gas & Food,4011 Freeport Blvd,,Sacramento,CA,95822,1339,SACRAMENTO,Convenience Store,38.537594,-121.49261,,,-13524495.480345774,4655650.666388816
